"activity" "subject" "acc.sig" "sensor" "measurement" "axis" "average"
"SITTING" 6 "Body" "Acc" "mean()" "X" 0.276778487454545
"SITTING" 7 "Body" "Acc" "mean()" "X" 0.284674637291667
"SITTING" 8 "Body" "Acc" "mean()" "X" 0.267491472934783
"SITTING" 9 "Body" "Acc" "mean()" "X" 0.24832674354
"SITTING" 10 "Body" "Acc" "mean()" "X" 0.270612056481481
"SITTING" 11 "Body" "Acc" "mean()" "X" 0.276590197358491
"SITTING" 12 "Body" "Acc" "mean()" "X" 0.275007224901961
"SITTING" 13 "Body" "Acc" "mean()" "X" 0.274328499591837
"SITTING" 14 "Body" "Acc" "mean()" "X" 0.279990577037037
"SITTING" 15 "Body" "Acc" "mean()" "X" 0.27290337979661
"SITTING" 16 "Body" "Acc" "mean()" "X" 0.280768574492754
"SITTING" 17 "Body" "Acc" "mean()" "X" 0.2773570196875
"SITTING" 18 "Body" "Acc" "mean()" "X" 0.27727001877193
"SITTING" 19 "Body" "Acc" "mean()" "X" 0.273830316164384
"SITTING" 20 "Body" "Acc" "mean()" "X" 0.278045439090909
"SITTING" 21 "Body" "Acc" "mean()" "X" 0.277539616823529
"SITTING" 22 "Body" "Acc" "mean()" "X" 0.273583822709677
"SITTING" 23 "Body" "Acc" "mean()" "X" 0.273351251617647
"SITTING" 24 "Body" "Acc" "mean()" "X" 0.273475690147059
"SITTING" 25 "Body" "Acc" "mean()" "X" 0.278541482461538
"SITTING" 26 "Body" "Acc" "mean()" "X" 0.258243530166667
"SITTING" 27 "Body" "Acc" "mean()" "X" 0.273941302571429
"SITTING" 28 "Body" "Acc" "mean()" "X" 0.276977629444444
"SITTING" 29 "Body" "Acc" "mean()" "X" 0.2771799775
"SITTING" 30 "Body" "Acc" "mean()" "X" 0.268336081379032
"STANDING" 1 "Body" "Acc" "mean()" "X" 0.278917629056604
"STANDING" 2 "Body" "Acc" "mean()" "X" 0.277911472222222
"STANDING" 3 "Body" "Acc" "mean()" "X" 0.280046513278689
"STANDING" 4 "Body" "Acc" "mean()" "X" 0.280499745892857
"STANDING" 5 "Body" "Acc" "mean()" "X" 0.282544390892857
"STANDING" 6 "Body" "Acc" "mean()" "X" 0.280346248596491
"STANDING" 7 "Body" "Acc" "mean()" "X" 0.282723539433962
"STANDING" 8 "Body" "Acc" "mean()" "X" 0.279620986111111
"STANDING" 9 "Body" "Acc" "mean()" "X" 0.282310057333333
"STANDING" 10 "Body" "Acc" "mean()" "X" 0.276650300681818
"STANDING" 11 "Body" "Acc" "mean()" "X" 0.277715562765957
"STANDING" 12 "Body" "Acc" "mean()" "X" 0.277405834918033
"STANDING" 13 "Body" "Acc" "mean()" "X" 0.277758431052632
"STANDING" 14 "Body" "Acc" "mean()" "X" 0.280545613833333
"STANDING" 15 "Body" "Acc" "mean()" "X" 0.278915803962264
"STANDING" 16 "Body" "Acc" "mean()" "X" 0.283497402948718
"STANDING" 17 "Body" "Acc" "mean()" "X" 0.277942503333333
"STANDING" 18 "Body" "Acc" "mean()" "X" 0.278458805890411
"STANDING" 19 "Body" "Acc" "mean()" "X" 0.27817226
"STANDING" 20 "Body" "Acc" "mean()" "X" 0.278076904657534
"STANDING" 21 "Body" "Acc" "mean()" "X" 0.27695224258427
"STANDING" 22 "Body" "Acc" "mean()" "X" 0.279053861587302
"STANDING" 23 "Body" "Acc" "mean()" "X" 0.277899323235294
"STANDING" 24 "Body" "Acc" "mean()" "X" 0.280348883913043
"STANDING" 25 "Body" "Acc" "mean()" "X" 0.278013701621622
"STANDING" 26 "Body" "Acc" "mean()" "X" 0.281127035405405
"STANDING" 27 "Body" "Acc" "mean()" "X" 0.279566921625
"STANDING" 28 "Body" "Acc" "mean()" "X" 0.277795069113924
"STANDING" 29 "Body" "Acc" "mean()" "X" 0.277965065846154
"STANDING" 30 "Body" "Acc" "mean()" "X" 0.277112699152542
"WALKING" 1 "Body" "Acc" "mean()" "X" 0.277330758736842
"WALKING" 2 "Body" "Acc" "mean()" "X" 0.276426586440678
"WALKING" 3 "Body" "Acc" "mean()" "X" 0.275567462068966
"WALKING" 4 "Body" "Acc" "mean()" "X" 0.278582015166667
"WALKING" 5 "Body" "Acc" "mean()" "X" 0.27784234625
"WALKING" 6 "Body" "Acc" "mean()" "X" 0.283658868070175
"WALKING" 7 "Body" "Acc" "mean()" "X" 0.275592961754386
"WALKING" 8 "Body" "Acc" "mean()" "X" 0.27468631
"WALKING" 9 "Body" "Acc" "mean()" "X" 0.278502842115385
"WALKING" 10 "Body" "Acc" "mean()" "X" 0.278574076603774
"WALKING" 11 "Body" "Acc" "mean()" "X" 0.271821892881356
"WALKING" 12 "Body" "Acc" "mean()" "X" 0.2771286656
"WALKING" 13 "Body" "Acc" "mean()" "X" 0.275883130350877
"WALKING" 14 "Body" "Acc" "mean()" "X" 0.271959598644068
"WALKING" 15 "Body" "Acc" "mean()" "X" 0.273899207962963
"WALKING" 16 "Body" "Acc" "mean()" "X" 0.276023564509804
"WALKING" 17 "Body" "Acc" "mean()" "X" 0.272341855245902
"WALKING" 18 "Body" "Acc" "mean()" "X" 0.273887758571429
"WALKING" 19 "Body" "Acc" "mean()" "X" 0.273931172307692
"WALKING" 20 "Body" "Acc" "mean()" "X" 0.272589336470588
"WALKING" 21 "Body" "Acc" "mean()" "X" 0.279183526730769
"WALKING" 22 "Body" "Acc" "mean()" "X" 0.27886459
"WALKING" 23 "Body" "Acc" "mean()" "X" 0.273211884237288
"WALKING" 24 "Body" "Acc" "mean()" "X" 0.276980816034483
"WALKING" 25 "Body" "Acc" "mean()" "X" 0.278992759054054
"WALKING" 26 "Body" "Acc" "mean()" "X" 0.279264443728814
"WALKING" 27 "Body" "Acc" "mean()" "X" 0.276849485438596
"WALKING" 28 "Body" "Acc" "mean()" "X" 0.281228223888889
"WALKING" 29 "Body" "Acc" "mean()" "X" 0.271999916792453
"WALKING" 30 "Body" "Acc" "mean()" "X" 0.276406758
"WALKING_DOWNSTAIRS" 1 "Body" "Acc" "mean()" "X" 0.289188320408163
"WALKING_DOWNSTAIRS" 2 "Body" "Acc" "mean()" "X" 0.27761534806383
"WALKING_DOWNSTAIRS" 3 "Body" "Acc" "mean()" "X" 0.292423484693878
"WALKING_DOWNSTAIRS" 4 "Body" "Acc" "mean()" "X" 0.279965329555556
"WALKING_DOWNSTAIRS" 5 "Body" "Acc" "mean()" "X" 0.29354392712766
"WALKING_DOWNSTAIRS" 6 "Body" "Acc" "mean()" "X" 0.277045258145833
"WALKING_DOWNSTAIRS" 7 "Body" "Acc" "mean()" "X" 0.28030708
"WALKING_DOWNSTAIRS" 8 "Body" "Acc" "mean()" "X" 0.283484089210526
"WALKING_DOWNSTAIRS" 9 "Body" "Acc" "mean()" "X" 0.295923445
"WALKING_DOWNSTAIRS" 10 "Body" "Acc" "mean()" "X" 0.290401594315789
"WALKING_DOWNSTAIRS" 11 "Body" "Acc" "mean()" "X" 0.291605631956522
"WALKING_DOWNSTAIRS" 12 "Body" "Acc" "mean()" "X" 0.281521097391304
"WALKING_DOWNSTAIRS" 13 "Body" "Acc" "mean()" "X" 0.294907553404255
"WALKING_DOWNSTAIRS" 14 "Body" "Acc" "mean()" "X" 0.293422115555556
"WALKING_DOWNSTAIRS" 15 "Body" "Acc" "mean()" "X" 0.280198851190476
"WALKING_DOWNSTAIRS" 16 "Body" "Acc" "mean()" "X" 0.295586802191489
"WALKING_DOWNSTAIRS" 17 "Body" "Acc" "mean()" "X" 0.29391828326087
"WALKING_DOWNSTAIRS" 18 "Body" "Acc" "mean()" "X" 0.288439468909091
"WALKING_DOWNSTAIRS" 19 "Body" "Acc" "mean()" "X" 0.262688053871795
"WALKING_DOWNSTAIRS" 20 "Body" "Acc" "mean()" "X" 0.296144421355556
"WALKING_DOWNSTAIRS" 21 "Body" "Acc" "mean()" "X" 0.3014610196
"WALKING_DOWNSTAIRS" 22 "Body" "Acc" "mean()" "X" 0.284458963861111
"WALKING_DOWNSTAIRS" 23 "Body" "Acc" "mean()" "X" 0.289897411148148
"WALKING_DOWNSTAIRS" 24 "Body" "Acc" "mean()" "X" 0.288631208909091
"WALKING_DOWNSTAIRS" 25 "Body" "Acc" "mean()" "X" 0.291329666206897
"WALKING_DOWNSTAIRS" 26 "Body" "Acc" "mean()" "X" 0.2792845828
"WALKING_DOWNSTAIRS" 27 "Body" "Acc" "mean()" "X" 0.2975441875
"WALKING_DOWNSTAIRS" 28 "Body" "Acc" "mean()" "X" 0.293642076521739
"WALKING_DOWNSTAIRS" 29 "Body" "Acc" "mean()" "X" 0.293140441083333
"WALKING_DOWNSTAIRS" 30 "Body" "Acc" "mean()" "X" 0.283190646967742
"WALKING_UPSTAIRS" 1 "Body" "Acc" "mean()" "X" 0.255461689622641
"WALKING_UPSTAIRS" 2 "Body" "Acc" "mean()" "X" 0.247164790395833
"WALKING_UPSTAIRS" 3 "Body" "Acc" "mean()" "X" 0.260819873067797
"WALKING_UPSTAIRS" 4 "Body" "Acc" "mean()" "X" 0.270876696730769
"WALKING_UPSTAIRS" 5 "Body" "Acc" "mean()" "X" 0.268459469914894
"WALKING_UPSTAIRS" 6 "Body" "Acc" "mean()" "X" 0.268229355098039
"WALKING_UPSTAIRS" 7 "Body" "Acc" "mean()" "X" 0.248706923078431
"WALKING_UPSTAIRS" 8 "Body" "Acc" "mean()" "X" 0.258880152048781
"WALKING_UPSTAIRS" 9 "Body" "Acc" "mean()" "X" 0.262436475714286
"WALKING_UPSTAIRS" 10 "Body" "Acc" "mean()" "X" 0.267121853404255
"WALKING_UPSTAIRS" 11 "Body" "Acc" "mean()" "X" 0.263775859277778
"WALKING_UPSTAIRS" 12 "Body" "Acc" "mean()" "X" 0.272970338653846
"WALKING_UPSTAIRS" 13 "Body" "Acc" "mean()" "X" 0.258203939581818
"WALKING_UPSTAIRS" 14 "Body" "Acc" "mean()" "X" 0.26242106612963
"WALKING_UPSTAIRS" 15 "Body" "Acc" "mean()" "X" 0.270187595833333
"WALKING_UPSTAIRS" 16 "Body" "Acc" "mean()" "X" 0.255986102627451
"WALKING_UPSTAIRS" 17 "Body" "Acc" "mean()" "X" 0.252604768583333
"WALKING_UPSTAIRS" 18 "Body" "Acc" "mean()" "X" 0.265401201896552
"WALKING_UPSTAIRS" 19 "Body" "Acc" "mean()" "X" 0.242118808925
"WALKING_UPSTAIRS" 20 "Body" "Acc" "mean()" "X" 0.252098317156863
"WALKING_UPSTAIRS" 21 "Body" "Acc" "mean()" "X" 0.265194544680851
"WALKING_UPSTAIRS" 22 "Body" "Acc" "mean()" "X" 0.248391534566667
"WALKING_UPSTAIRS" 23 "Body" "Acc" "mean()" "X" 0.249995171031373
"WALKING_UPSTAIRS" 24 "Body" "Acc" "mean()" "X" 0.269881106779661
"WALKING_UPSTAIRS" 25 "Body" "Acc" "mean()" "X" 0.277995411384615
"WALKING_UPSTAIRS" 26 "Body" "Acc" "mean()" "X" 0.272691394545455
"WALKING_UPSTAIRS" 27 "Body" "Acc" "mean()" "X" 0.265770253921569
"WALKING_UPSTAIRS" 28 "Body" "Acc" "mean()" "X" 0.262005841764706
"WALKING_UPSTAIRS" 29 "Body" "Acc" "mean()" "X" 0.265423066877551
"WALKING_UPSTAIRS" 30 "Body" "Acc" "mean()" "X" 0.271415642261538
"LAYING" 1 "Body" "Acc" "mean()" "Y" -0.0405139534294
"LAYING" 2 "Body" "Acc" "mean()" "Y" -0.0181587397583333
"LAYING" 3 "Body" "Acc" "mean()" "Y" -0.0189556785048387
"LAYING" 4 "Body" "Acc" "mean()" "Y" -0.0150031841055556
"LAYING" 5 "Body" "Acc" "mean()" "Y" -0.0183042123269231
"LAYING" 6 "Body" "Acc" "mean()" "Y" -0.0102529170561404
"LAYING" 7 "Body" "Acc" "mean()" "Y" -0.0204411516884615
"LAYING" 8 "Body" "Acc" "mean()" "Y" -0.0212281733881481
"LAYING" 9 "Body" "Acc" "mean()" "Y" -0.020526821662
"LAYING" 10 "Body" "Acc" "mean()" "Y" -0.024294484137931
"LAYING" 11 "Body" "Acc" "mean()" "Y" -0.0176598052315789
"LAYING" 12 "Body" "Acc" "mean()" "Y" -0.0175203917146667
"LAYING" 13 "Body" "Acc" "mean()" "Y" -0.020440454366129
"LAYING" 14 "Body" "Acc" "mean()" "Y" -0.0113424652490196
"LAYING" 15 "Body" "Acc" "mean()" "Y" -0.0166296542054167
"LAYING" 16 "Body" "Acc" "mean()" "Y" -0.0166103510562857
"LAYING" 17 "Body" "Acc" "mean()" "Y" -0.0168462006729577
"LAYING" 18 "Body" "Acc" "mean()" "Y" -0.0173937684615385
"LAYING" 19 "Body" "Acc" "mean()" "Y" -0.0171426864421687
"LAYING" 20 "Body" "Acc" "mean()" "Y" -0.0144406281132353
"LAYING" 21 "Body" "Acc" "mean()" "Y" -0.0184233048415556
"LAYING" 22 "Body" "Acc" "mean()" "Y" -0.0142629864502778
"LAYING" 23 "Body" "Acc" "mean()" "Y" -0.0216553835833333
"LAYING" 24 "Body" "Acc" "mean()" "Y" -0.0173555210111111
"LAYING" 25 "Body" "Acc" "mean()" "Y" -0.0188943663671233
"LAYING" 26 "Body" "Acc" "mean()" "Y" -0.0191895728026316
"LAYING" 27 "Body" "Acc" "mean()" "Y" -0.0179867611216216
"LAYING" 28 "Body" "Acc" "mean()" "Y" -0.0167537858225
"LAYING" 29 "Body" "Acc" "mean()" "Y" -0.0171965484202899
"LAYING" 30 "Body" "Acc" "mean()" "Y" -0.0194494098614286
"SITTING" 1 "Body" "Acc" "mean()" "Y" -0.00130828765170213
"SITTING" 2 "Body" "Acc" "mean()" "Y" -0.0156879937282609
"SITTING" 3 "Body" "Acc" "mean()" "Y" -0.00350299841730769
"SITTING" 4 "Body" "Acc" "mean()" "Y" -0.007163065158
"SITTING" 5 "Body" "Acc" "mean()" "Y" -0.00990083527045455
"SITTING" 6 "Body" "Acc" "mean()" "Y" -0.0145911615290909
"SITTING" 7 "Body" "Acc" "mean()" "Y" -0.01461097580375
"SITTING" 8 "Body" "Acc" "mean()" "Y" -0.00672550621304348
"SITTING" 9 "Body" "Acc" "mean()" "Y" -0.02701677698
"SITTING" 10 "Body" "Acc" "mean()" "Y" -0.015042681852037
"SITTING" 11 "Body" "Acc" "mean()" "Y" -0.0149195616754717
"SITTING" 12 "Body" "Acc" "mean()" "Y" -0.0157892988523529
"SITTING" 13 "Body" "Acc" "mean()" "Y" -0.00587732936326531
"SITTING" 14 "Body" "Acc" "mean()" "Y" -0.00870565463888889
"SITTING" 15 "Body" "Acc" "mean()" "Y" -0.0117188472271186
"SITTING" 16 "Body" "Acc" "mean()" "Y" -0.0102497939956522
"SITTING" 17 "Body" "Acc" "mean()" "Y" -0.014156274084375
"SITTING" 18 "Body" "Acc" "mean()" "Y" -0.0128691279736842
"SITTING" 19 "Body" "Acc" "mean()" "Y" -0.016739260030137
"SITTING" 20 "Body" "Acc" "mean()" "Y" -0.0147229305131818
"SITTING" 21 "Body" "Acc" "mean()" "Y" -0.0144009705494118
"SITTING" 22 "Body" "Acc" "mean()" "Y" -0.0123468446419355
"SITTING" 23 "Body" "Acc" "mean()" "Y" -0.0133945015676471
"SITTING" 24 "Body" "Acc" "mean()" "Y" -0.0131255097938235
"SITTING" 25 "Body" "Acc" "mean()" "Y" -0.0147696808030769
"SITTING" 26 "Body" "Acc" "mean()" "Y" -0.00713364541358974
"SITTING" 27 "Body" "Acc" "mean()" "Y" -0.0155269799285714
"SITTING" 28 "Body" "Acc" "mean()" "Y" -0.0185404441258333
"SITTING" 29 "Body" "Acc" "mean()" "Y" -0.016630680375
"SITTING" 30 "Body" "Acc" "mean()" "Y" -0.00804731295322581
"STANDING" 1 "Body" "Acc" "mean()" "Y" -0.0161375901037736
"STANDING" 2 "Body" "Acc" "mean()" "Y" -0.0184208270166667
"STANDING" 3 "Body" "Acc" "mean()" "Y" -0.0143376555065574
"STANDING" 4 "Body" "Acc" "mean()" "Y" -0.00948911098553571
"STANDING" 5 "Body" "Acc" "mean()" "Y" -0.00700418554517857
"STANDING" 6 "Body" "Acc" "mean()" "Y" -0.0181236327175439
"STANDING" 7 "Body" "Acc" "mean()" "Y" -0.0145740341037736
"STANDING" 8 "Body" "Acc" "mean()" "Y" -0.0148113067148148
"STANDING" 9 "Body" "Acc" "mean()" "Y" -0.0200454954022222
"STANDING" 10 "Body" "Acc" "mean()" "Y" -0.0155418603409091
"STANDING" 11 "Body" "Acc" "mean()" "Y" -0.0171990886595745
"STANDING" 12 "Body" "Acc" "mean()" "Y" -0.0169002543196721
"STANDING" 13 "Body" "Acc" "mean()" "Y" -0.0167891993964912
"STANDING" 14 "Body" "Acc" "mean()" "Y" -0.01520781344
"STANDING" 15 "Body" "Acc" "mean()" "Y" -0.0183516360396226
"STANDING" 16 "Body" "Acc" "mean()" "Y" -0.0165999672935897
"STANDING" 17 "Body" "Acc" "mean()" "Y" -0.0174120064169231
"STANDING" 18 "Body" "Acc" "mean()" "Y" -0.0166353518150685
"STANDING" 19 "Body" "Acc" "mean()" "Y" -0.0154244056945205
"STANDING" 20 "Body" "Acc" "mean()" "Y" -0.0180695049161644
"STANDING" 21 "Body" "Acc" "mean()" "Y" -0.0167084730205618
"STANDING" 22 "Body" "Acc" "mean()" "Y" -0.0158563207496825
"STANDING" 23 "Body" "Acc" "mean()" "Y" -0.0177475547867647
"STANDING" 24 "Body" "Acc" "mean()" "Y" -0.0144785340348986
"STANDING" 25 "Body" "Acc" "mean()" "Y" -0.0163569730274324
"STANDING" 26 "Body" "Acc" "mean()" "Y" -0.0166608306652703
"STANDING" 27 "Body" "Acc" "mean()" "Y" -0.016593236445
"STANDING" 28 "Body" "Acc" "mean()" "Y" -0.0172635124672152
"STANDING" 29 "Body" "Acc" "mean()" "Y" -0.0172605869061538
"STANDING" 30 "Body" "Acc" "mean()" "Y" -0.0170163887813559
"WALKING" 1 "Body" "Acc" "mean()" "Y" -0.0173838185273684
"WALKING" 2 "Body" "Acc" "mean()" "Y" -0.0185949199145763
"WALKING" 3 "Body" "Acc" "mean()" "Y" -0.0171767844203448
"WALKING" 4 "Body" "Acc" "mean()" "Y" -0.0148399475341667
"WALKING" 5 "Body" "Acc" "mean()" "Y" -0.0172850317482679
"WALKING" 6 "Body" "Acc" "mean()" "Y" -0.0168954189082456
"WALKING" 7 "Body" "Acc" "mean()" "Y" -0.018653665345614
"WALKING" 8 "Body" "Acc" "mean()" "Y" -0.0186628865310417
"WALKING" 9 "Body" "Acc" "mean()" "Y" -0.0180891971284423
"WALKING" 10 "Body" "Acc" "mean()" "Y" -0.017022351190566
"WALKING" 11 "Body" "Acc" "mean()" "Y" -0.0166475833623729
"WALKING" 12 "Body" "Acc" "mean()" "Y" -0.015560927606
"WALKING" 13 "Body" "Acc" "mean()" "Y" -0.0185660651947368
"WALKING" 14 "Body" "Acc" "mean()" "Y" -0.0217785380966102
"WALKING" 15 "Body" "Acc" "mean()" "Y" -0.0170809740090741
"WALKING" 16 "Body" "Acc" "mean()" "Y" -0.0204286929452941
"WALKING" 17 "Body" "Acc" "mean()" "Y" -0.0184875403339344
"WALKING" 18 "Body" "Acc" "mean()" "Y" -0.0178023631866071
"WALKING" 19 "Body" "Acc" "mean()" "Y" -0.0191773587903846
"WALKING" 20 "Body" "Acc" "mean()" "Y" -0.021199992245098
"WALKING" 21 "Body" "Acc" "mean()" "Y" -0.0181610317526923
"WALKING" 22 "Body" "Acc" "mean()" "Y" -0.0167213607957174
"WALKING" 23 "Body" "Acc" "mean()" "Y" -0.0183618711932203
"WALKING" 24 "Body" "Acc" "mean()" "Y" -0.0225446400534483
"WALKING" 25 "Body" "Acc" "mean()" "Y" -0.0186477624716216
"WALKING" 26 "Body" "Acc" "mean()" "Y" -0.0154259586949153
"WALKING" 27 "Body" "Acc" "mean()" "Y" -0.0166478783221912
"WALKING" 28 "Body" "Acc" "mean()" "Y" -0.0156759722981481
"WALKING" 29 "Body" "Acc" "mean()" "Y" -0.0162915600588679
"WALKING" 30 "Body" "Acc" "mean()" "Y" -0.0175880385730769
"WALKING_DOWNSTAIRS" 1 "Body" "Acc" "mean()" "Y" -0.00991850461020408
"WALKING_DOWNSTAIRS" 2 "Body" "Acc" "mean()" "Y" -0.0226614158361702
"WALKING_DOWNSTAIRS" 3 "Body" "Acc" "mean()" "Y" -0.0193554079328571
"WALKING_DOWNSTAIRS" 4 "Body" "Acc" "mean()" "Y" -0.00980200850666667
"WALKING_DOWNSTAIRS" 5 "Body" "Acc" "mean()" "Y" -0.00850107533191489
"WALKING_DOWNSTAIRS" 6 "Body" "Acc" "mean()" "Y" -0.019536840063125
"WALKING_DOWNSTAIRS" 7 "Body" "Acc" "mean()" "Y" -0.0166332372978723
"WALKING_DOWNSTAIRS" 8 "Body" "Acc" "mean()" "Y" -0.0211058674973684
"WALKING_DOWNSTAIRS" 9 "Body" "Acc" "mean()" "Y" -0.0203994269075476
"WALKING_DOWNSTAIRS" 10 "Body" "Acc" "mean()" "Y" -0.0200050770710526
"WALKING_DOWNSTAIRS" 11 "Body" "Acc" "mean()" "Y" -0.0178097721219565
"WALKING_DOWNSTAIRS" 12 "Body" "Acc" "mean()" "Y" -0.018084266865793
"WALKING_DOWNSTAIRS" 13 "Body" "Acc" "mean()" "Y" -0.0143723839108511
"WALKING_DOWNSTAIRS" 14 "Body" "Acc" "mean()" "Y" -0.0200141413657778
"WALKING_DOWNSTAIRS" 15 "Body" "Acc" "mean()" "Y" -0.00563047804309524
"WALKING_DOWNSTAIRS" 16 "Body" "Acc" "mean()" "Y" -0.0183898583787234
"WALKING_DOWNSTAIRS" 17 "Body" "Acc" "mean()" "Y" -0.0167359404347826
"WALKING_DOWNSTAIRS" 18 "Body" "Acc" "mean()" "Y" -0.0168666920221818
"WALKING_DOWNSTAIRS" 19 "Body" "Acc" "mean()" "Y" -0.0145942275069487
"WALKING_DOWNSTAIRS" 20 "Body" "Acc" "mean()" "Y" -0.00964120773155556
"WALKING_DOWNSTAIRS" 21 "Body" "Acc" "mean()" "Y" -0.0173195390157778
"WALKING_DOWNSTAIRS" 22 "Body" "Acc" "mean()" "Y" -0.0197999371686389
"WALKING_DOWNSTAIRS" 23 "Body" "Acc" "mean()" "Y" -0.0162111457238889
"WALKING_DOWNSTAIRS" 24 "Body" "Acc" "mean()" "Y" -0.0145730348310909
"WALKING_DOWNSTAIRS" 25 "Body" "Acc" "mean()" "Y" -0.0210170522987931
"WALKING_DOWNSTAIRS" 26 "Body" "Acc" "mean()" "Y" -0.01262580966778
"WALKING_DOWNSTAIRS" 27 "Body" "Acc" "mean()" "Y" -0.0135564467159091
"WALKING_DOWNSTAIRS" 28 "Body" "Acc" "mean()" "Y" -0.0220230465913043
"WALKING_DOWNSTAIRS" 29 "Body" "Acc" "mean()" "Y" -0.01494121505625
"WALKING_DOWNSTAIRS" 30 "Body" "Acc" "mean()" "Y" -0.0174383900204839
"WALKING_UPSTAIRS" 1 "Body" "Acc" "mean()" "Y" -0.0239531492643396
"WALKING_UPSTAIRS" 2 "Body" "Acc" "mean()" "Y" -0.0214121132045833
"WALKING_UPSTAIRS" 3 "Body" "Acc" "mean()" "Y" -0.0324109410555932
"WALKING_UPSTAIRS" 4 "Body" "Acc" "mean()" "Y" -0.0319804295729615
"WALKING_UPSTAIRS" 5 "Body" "Acc" "mean()" "Y" -0.0325269755153191
"WALKING_UPSTAIRS" 6 "Body" "Acc" "mean()" "Y" -0.0272425385070588
"WALKING_UPSTAIRS" 7 "Body" "Acc" "mean()" "Y" -0.0275639005607843
"WALKING_UPSTAIRS" 8 "Body" "Acc" "mean()" "Y" -0.0282415136341463
"WALKING_UPSTAIRS" 9 "Body" "Acc" "mean()" "Y" -0.0195101099975714
"WALKING_UPSTAIRS" 10 "Body" "Acc" "mean()" "Y" -0.0143854920340426
"WALKING_UPSTAIRS" 11 "Body" "Acc" "mean()" "Y" -0.0303157822055556
"WALKING_UPSTAIRS" 12 "Body" "Acc" "mean()" "Y" -0.0263574903403846
"WALKING_UPSTAIRS" 13 "Body" "Acc" "mean()" "Y" -0.0277392253910909
"WALKING_UPSTAIRS" 14 "Body" "Acc" "mean()" "Y" -0.0204388180024074
"WALKING_UPSTAIRS" 15 "Body" "Acc" "mean()" "Y" -0.0287523860708333
"WALKING_UPSTAIRS" 16 "Body" "Acc" "mean()" "Y" -0.0143654945011765
"WALKING_UPSTAIRS" 17 "Body" "Acc" "mean()" "Y" -0.0228645614308333
"WALKING_UPSTAIRS" 18 "Body" "Acc" "mean()" "Y" -0.0222060684378914
"WALKING_UPSTAIRS" 19 "Body" "Acc" "mean()" "Y" -0.0303986615775
"WALKING_UPSTAIRS" 20 "Body" "Acc" "mean()" "Y" -0.0282258047588235
"WALKING_UPSTAIRS" 21 "Body" "Acc" "mean()" "Y" -0.0237218695148936
"WALKING_UPSTAIRS" 22 "Body" "Acc" "mean()" "Y" -0.0268622561133333
"WALKING_UPSTAIRS" 23 "Body" "Acc" "mean()" "Y" -0.0323844029237255
"WALKING_UPSTAIRS" 24 "Body" "Acc" "mean()" "Y" -0.0251979434569492
"WALKING_UPSTAIRS" 25 "Body" "Acc" "mean()" "Y" -0.0269863524264615
"WALKING_UPSTAIRS" 26 "Body" "Acc" "mean()" "Y" -0.0281633797398182
